0 -0.00474536         0 0.0417454 -0.294056          0 -0.0322546  -0.294056
0 -0.00504805         0 0.0420481 -0.294056          0 -0.0319519  -0.294056
0 -0.00536879         0 0.0423688 -0.294056          0 -0.0316312  -0.294056
0 -0.00570863         0 0.0427086 -0.294056          0 -0.0312914  -0.294056
0 -0.00606872         0 0.0430687 -0.294056          0 -0.0309313  -0.294056
0 -0.00645025         0 0.0434503 -0.294056          0 -0.0305497  -0.294056
0 -0.0068545         0 0.0438545 -0.294056          0 -0.0301455  -0.294056
0 -0.00728282         0 0.0442828 -0.294056          0 -0.0297172  -0.294056
0 -0.00773663         0 0.0447366 -0.294056          0 -0.0292634  -0.294056
0 -0.00821745         0 0.0452175 -0.294056          0 -0.0287825  -0.294056
0 -0.00872689         0 0.0457269 -0.294056          0 -0.0282731  -0.294056
0 -0.00926665         0 0.0462666 -0.294056          0 -0.0277334  -0.294056
0 -0.00983852         0 0.0468385 -0.294056          0 -0.0271615  -0.294056
0 -0.0104444         0 0.0474444 -0.294056          0 -0.0265556  -0.294056
0 -0.0110864         0 0.0480864 -0.294056          0 -0.0259136  -0.294056
0 -0.0117665         0 0.0487665 -0.294056          0 -0.0252335  -0.294056
0 -0.0124871         0 0.0494871 -0.294056          0 -0.0245129  -0.294056
0 -0.0132505         0 0.0502505 -0.294056          0 -0.0237495  -0.294056
0 -0.0140594         0 0.0510594 -0.294056          0 -0.0229406  -0.294056
0 -0.0149164         0 0.0519164 -0.294056          0 -0.0220836  -0.294056
0 -0.0158243         0 0.0528243 -0.294056          0 -0.0211757  -0.294056
0 -0.0167862         0 0.0537862 -0.294056          0 -0.0202138  -0.294056
0 -0.0178054          0 -0.0191946  -0.294056         0 0.0548054 -0.294056
0 -0.0188234          0 -0.0181766  -0.294056         0 0.0558234 -0.294056
0 -0.0197817          0 -0.0172183  -0.294056         0 0.0567817 -0.294056
0 -0.0206837          0 -0.0163163  -0.294056         0 0.0576837 -0.294056
0 -0.0215323          0 -0.0154677  -0.294056         0 0.0585323 -0.294056
0 -0.0223303          0 -0.0146697  -0.294056         0 0.0593303 -0.294056
0 -0.0230804          0 -0.0139196  -0.294056         0 0.0600804 -0.294056
0 -0.0237851          0 -0.0132149  -0.294056         0 0.0607851 -0.294056
0 -0.0244468          0 -0.0125532  -0.294056         0 0.0614468 -0.294056
0 -0.0250677          0 -0.0119323  -0.294056         0 0.0620677 -0.294056
0 -0.0256498          0 -0.0113502  -0.294056         0 0.0626498 -0.294056
0 -0.026195         0 -0.010805 -0.294056         0  0.063195 -0.294056
0 -0.0267053          0 -0.0102947  -0.294056         0 0.0637053 -0.294056
0 -0.0271823           0 -0.00981771   -0.294056         0 0.0641823 -0.294056
0 -0.0276276           0 -0.00937243   -0.294056         0 0.0646276 -0.294056
0 -0.0280426           0 -0.00895736   -0.294056         0 0.0650426 -0.294056
0 -0.0284289           0 -0.00857113   -0.294056         0 0.0654289 -0.294056
0 -0.0287875           0 -0.00821245   -0.294056         0 0.0657875 -0.294056
0 -0.0291199           0 -0.00788011   -0.294056         0 0.0661199 -0.294056
0 -0.029427           0 -0.00757301   -0.294056         0  0.066427 -0.294056
0 -0.0297099           0 -0.00729013   -0.294056         0 0.0667099 -0.255324
0 -0.0299695          0 -0.0070305  -0.294056         0 0.0669695 -0.252879
0 -0.0302067           0 -0.00679329   -0.294056         0 0.0672067 -0.250486
0 -0.0304223           0 -0.00657769   -0.294056         0 0.0674223 -0.248147
0 -0.030617           0 -0.00638297   -0.294056         0  0.067617 -0.245866
0 -0.0307915          0 -0.0062085  -0.294056         0 0.0677915 -0.243644
0 -0.0309463           0 -0.00605369   -0.294056         0 0.0679463 -0.241485
0 -0.031082           0 -0.00591802   -0.294056         0  0.068082 -0.239391
0 -0.031199           0 -0.00580104   -0.294056         0  0.068199 -0.237365
0 -0.0312976           0 -0.00570237   -0.294056         0 0.0682976  -0.23541
0 -0.0313783           0 -0.00562166   -0.294056         0 0.0683783 -0.233528
0 -0.0314413           0 -0.00555865   -0.294056         0 0.0684413 -0.231721
0 -0.0314869           0 -0.00551314   -0.294056         0 0.0684869 -0.229992
0 -0.031515           0 -0.00548496   -0.294056         0  0.068515 -0.228342
0 -0.031526           0 -0.00547404   -0.294056         0  0.068526 -0.226774
0 -0.0315197           0 -0.00548031   -0.294056         0 0.0685197  -0.22529
0 -0.0314962           0 -0.00550382   -0.294056         0 0.0684962 -0.223891
0 -0.0314554           0 -0.00554464   -0.294056         0 0.0684554 -0.222579
0 -0.0313971           0 -0.00560291   -0.294056         0 0.0683971 -0.221357
0 -0.0313212           0 -0.00567879   -0.294056         0 0.0683212 -0.220225
0 -0.0312274           0 -0.00577259   -0.294056         0 0.0682274 -0.219184
0 -0.0311154           0 -0.00588458   -0.294056         0 0.0681154 -0.218237
0 -0.0309848           0 -0.00601517   -0.294056         0 0.0679848 -0.217384
0 -0.0308352           0 -0.00616475   -0.294056         0 0.0678352 -0.216627
0 -0.0306661           0 -0.00633385   -0.294056         0 0.0676661 -0.215965
0 -0.030477           0 -0.00652303   -0.294056         0  0.067477 -0.215401
0 -0.0302671           0 -0.00673293   -0.294056         0 0.0672671 -0.214935
0 -0.0300358           0 -0.00696423   -0.294056         0 0.0670358 -0.214567
0 -0.0297823          0 -0.0072177  -0.294056         0 0.0667823 -0.214298
0 -0.0295058           0 -0.00749422   -0.294056         0 0.0665058 -0.214128
0 -0.0292053           0 -0.00779469   -0.294056         0 0.0662053 -0.214058
0 -0.0288799           0 -0.00812007   -0.294056         0 0.0658799 -0.214087
0 -0.0285285           0 -0.00847153   -0.294056         0 0.0655285 -0.214216
0 -0.0281498           0 -0.00885022   -0.294056         0 0.0651498 -0.214444
0 -0.0277427           0 -0.00925734   -0.294056         0 0.0647427 -0.214771
0 -0.0273057           0 -0.00969431   -0.294056         0 0.0643057 -0.215196
0 -0.0268374          0 -0.0101626  -0.294056         0 0.0638374  -0.21572
